assists,champLevel,championName,deaths,detectorWardsPlaced,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,inhibitorsLost,kills,magicDamageDealt,magicDamageDealtToChampions,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,sightWardsBoughtInGame,teamId,teamPosition,totalDamageDealt,totalDamageDealtToChampions,totalMinionsKilled,trueDamageDealt,trueDamageDealtToChampions,turretsLost,visionScore,wardsKilled,wardsPlaced,win,match_id,tier
7,18,Khazix,1,0,False,False,21013,0,23,9450,4092,0,214554,88278,12014,29,0,100,,237030,98099,0,13025,5728,0,0,0,0,True,EUW1_7761504971,Challenger
21,18,Garen,4,0,False,False,24505,0,7,4378,3770,0,143018,28971,21697,6974,0,100,,217773,46641,0,70376,13900,0,0,0,0,True,EUW1_7761504971,Challenger
1,16,Nocturne,6,0,False,False,10807,0,7,3940,1270,0,163400,27215,16929,3790,0,100,,183953,34499,0,16612,6012,0,0,0,0,True,EUW1_7761504971,Challenger
1,14,Lillia,7,0,False,False,6779,0,2,23476,13681,0,5816,1197,26226,6386,0,200,,36434,19011,0,7140,4132,0,0,0,0,False,EUW1_7761504971,Challenger
7,15,Elise,5,0,False,False,11500,0,2,25734,19511,0,10069,2761,13983,871,0,200,,36568,23037,0,764,764,0,0,0,0,False,EUW1_7761504971,Challenger
4,17,XinZhao,6,0,False,False,11562,0,10,2518,1348,0,145881,40412,19081,6926,0,100,,152554,43215,1,4154,1454,0,0,0,0,True,EUW1_7761504971,Challenger
10,18,Ryze,5,0,False,False,13538,0,4,138766,27768,0,19135,2134,21611,779,0,100,,158002,29989,0,100,86,0,0,0,0,True,EUW1_7761504971,Challenger
2,15,Malzahar,6,0,False,False,10300,0,8,78144,25431,0,4490,1481,17096,591,0,200,,83588,27866,0,953,953,0,0,0,0,False,EUW1_7761504971,Challenger
0,12,Rengar,6,0,False,False,6252,0,1,1443,920,0,48675,10079,9203,4763,0,200,,50303,11184,0,184,184,0,0,0,0,False,EUW1_7761504971,Challenger
1,12,Jhin,6,0,False,False,6250,0,1,625,625,0,34129,15829,7640,512,0,200,,34766,16455,0,11,0,0,0,0,0,False,EUW1_7761504971,Challenger
6,16,Bard,8,0,False,False,10564,0,1,25579,10812,0,11176,2681,16300,6923,0,100,,36756,13493,0,0,0,0,0,0,0,True,EUW1_7761504971,Challenger
