assists,champLevel,championName,deaths,detectorWardsPlaced,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,inhibitorsLost,kills,magicDamageDealt,magicDamageDealtToChampions,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,sightWardsBoughtInGame,teamId,teamPosition,totalDamageDealt,totalDamageDealtToChampions,totalMinionsKilled,trueDamageDealt,trueDamageDealtToChampions,turretsLost,visionScore,wardsKilled,wardsPlaced,win,match_id,tier
7,16,Singed,0,1,False,False,11771,0,3,123323,10326,4,6993,1114,12608,4428,0,100,TOP,141292,11613,243,10976,172,0,18,1,8,True,EUW1_7762453023,Grandmaster
4,16,Belveth,2,2,False,False,15063,0,15,13524,2499,166,171076,19495,14060,1437,0,100,JUNGLE,273757,25819,54,89156,3824,0,39,7,6,True,EUW1_7762453023,Grandmaster
8,15,Yasuo,7,0,False,False,10621,0,5,21456,1108,7,150793,20362,10436,6771,0,100,MIDDLE,175560,22445,194,3309,975,0,16,1,9,True,EUW1_7762453023,Grandmaster
11,14,Swain,3,1,False,False,12732,0,9,106486,23402,4,13543,2968,10459,1392,0,100,BOTTOM,124057,26371,192,4027,0,0,17,2,8,True,EUW1_7762453023,Grandmaster
21,11,Nautilus,2,4,False,False,8926,0,3,10074,7878,0,6657,4587,7844,5285,0,100,UTILITY,17851,12465,11,1119,0,0,76,6,24,True,EUW1_7762453023,Grandmaster
4,15,Ornn,3,0,False,False,9244,3,1,52596,10725,0,61738,5794,12492,3898,0,200,TOP,121377,16701,194,7042,182,11,17,1,7,False,EUW1_7762453023,Grandmaster
1,12,Hecarim,7,1,False,False,7896,3,1,11384,1547,127,117243,6848,13977,6872,0,200,JUNGLE,197104,8657,44,68476,261,11,11,1,2,False,EUW1_7762453023,Grandmaster
5,15,Taliyah,6,1,False,False,10596,3,6,157867,27096,4,9674,2251,11074,4568,0,200,MIDDLE,168935,29347,214,1392,0,11,12,0,9,False,EUW1_7762453023,Grandmaster
4,12,Senna,8,2,False,False,8743,3,2,15533,2260,0,47383,9566,7604,3151,0,200,BOTTOM,62917,11827,134,0,0,11,12,1,7,False,EUW1_7762453023,Grandmaster
5,10,Sylas,11,4,False,False,8375,3,4,24573,14151,0,1431,568,18953,6996,0,200,UTILITY,27686,15419,39,1681,699,11,73,10,27,False,EUW1_7762453023,Grandmaster
6,16,Singed,5,0,False,False,10104,0,3,111654,6803,4,5707,568,11289,4428,0,100,TOP,121800,7565,203,4438,192,3,23,2,10,True,EUW1_7762440863,Grandmaster
13,17,LeeSin,4,6,False,False,12995,0,8,40566,2774,163,104235,16444,18287,578,0,100,JUNGLE,240982,20270,27,96180,1051,3,35,2,15,True,EUW1_7762440863,Grandmaster
5,16,Ekko,6,0,False,False,14388,0,15,139759,24214,4,17146,3017,10405,5871,0,100,MIDDLE,166177,28582,212,9271,1350,3,14,3,7,True,EUW1_7762440863,Grandmaster
10,15,Yunara,1,0,False,False,16374,0,10,57140,11784,6,137002,22482,11728,6251,0,100,BOTTOM,200030,35569,245,5887,1302,3,20,5,7,True,EUW1_7762440863,Grandmaster
17,14,Senna,3,6,False,False,8758,0,0,647,647,0,20574,5258,10229,5314,0,100,UTILITY,24301,6115,27,3079,210,3,70,8,35,True,EUW1_7762440863,Grandmaster
