assists,champLevel,championName,deaths,detectorWardsPlaced,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,inhibitorsLost,kills,magicDamageDealt,magicDamageDealtToChampions,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,sightWardsBoughtInGame,teamId,teamPosition,totalDamageDealt,totalDamageDealtToChampions,totalMinionsKilled,trueDamageDealt,trueDamageDealtToChampions,turretsLost,visionScore,wardsKilled,wardsPlaced,win,match_id,tier
17,16,Zilean,2,0,False,False,10673,0,7,94809,18943,0,10271,3063,14899,580,0,100,TOP,108057,22198,156,2976,192,2,17,1,9,True,EUW1_7762459643,Master
7,15,Khazix,5,0,False,False,14930,0,10,1175,1175,173,171155,17469,15819,5875,0,100,JUNGLE,266448,20725,11,94117,2081,2,15,1,2,True,EUW1_7762459643,Master
14,15,Velkoz,3,1,False,False,11242,0,8,110504,17247,0,8048,683,9188,5973,0,100,MIDDLE,147190,25734,202,28637,7803,2,27,5,8,True,EUW1_7762459643,Master
8,14,Ezreal,4,0,False,False,12529,0,4,14429,4934,0,108917,6628,10741,3150,0,100,BOTTOM,129239,11563,202,5891,0,2,9,2,5,True,EUW1_7762459643,Master
20,12,Alistar,3,3,False,False,7702,0,3,7343,5983,0,2531,963,9929,5410,0,100,UTILITY,12522,7003,18,2647,57,2,61,3,33,True,EUW1_7762459643,Master
0,13,Olaf,8,0,False,False,6991,1,1,74,74,0,77975,9167,12113,23,0,200,TOP,88456,12135,153,10406,2893,8,17,1,6,False,EUW1_7762459643,Master
10,12,Ivern,7,3,False,False,8252,1,2,5871,2998,107,4583,2700,4326,4960,0,200,JUNGLE,134752,6634,2,124297,935,8,30,2,5,False,EUW1_7762459643,Master
3,15,Yone,6,0,False,False,11363,1,7,13361,3622,10,133602,13801,10498,3353,0,200,MIDDLE,153409,20808,208,6445,3385,8,13,0,7,False,EUW1_7762459643,Master
3,13,Corki,5,0,False,False,12459,1,7,53722,7371,4,104145,15033,12294,7050,0,200,BOTTOM,172940,25497,242,15073,3092,8,25,5,7,False,EUW1_7762459643,Master
12,11,Nami,6,7,False,False,6646,1,0,13404,6783,0,5225,684,6185,7015,0,200,UTILITY,21218,7468,20,2589,0,8,65,5,26,False,EUW1_7762459643,Master
11,20,Ambessa,7,0,False,False,20993,0,22,865,865,8,250054,65128,18573,7033,0,100,TOP,259557,68745,267,8637,2750,6,12,2,8,True,EUW1_7762319788,Master
23,18,Shen,6,0,False,False,13614,0,3,72959,8327,208,53808,5595,24818,6749,0,100,JUNGLE,288857,16969,8,162090,3046,6,31,8,2,True,EUW1_7762319788,Master
16,18,Malphite,10,0,False,False,15654,0,11,104252,28270,0,64634,5506,21154,29,0,100,MIDDLE,178083,36451,221,9195,2674,6,39,1,18,True,EUW1_7762319788,Master
16,17,Karthus,20,1,False,False,19274,0,17,224994,73241,10,4561,926,22365,4021,0,100,BOTTOM,237145,75859,220,7589,1691,6,19,3,13,True,EUW1_7762319788,Master
33,16,Nami,10,2,False,False,11563,0,2,23036,14994,0,3385,1402,10051,3231,0,100,UTILITY,31940,19488,27,5518,3091,6,98,8,36,True,EUW1_7762319788,Master
8,18,Mordekaiser,12,0,False,False,13980,1,9,135728,31023,6,16108,3772,33123,3788,0,200,TOP,157462,36871,186,5624,2075,9,20,0,8,False,EUW1_7762319788,Master
17,17,Gragas,9,2,False,False,17264,1,13,167880,33227,149,19448,1929,20097,8,0,200,JUNGLE,275787,42901,38,88458,7744,9,29,5,3,False,EUW1_7762319788,Master
9,17,Ezreal,12,0,False,False,17042,1,17,46159,15972,7,168744,29584,17523,5875,0,200,MIDDLE,219462,46602,228,4558,1045,9,16,1,9,False,EUW1_7762319788,Master
15,17,Corki,10,0,False,False,19430,1,13,63802,7863,39,135883,21178,15538,4096,0,200,BOTTOM,220379,33488,210,20692,4446,9,17,4,11,False,EUW1_7762319788,Master
25,14,Blitzcrank,13,19,False,False,9971,1,1,13359,9612,0,4833,3613,14809,3231,0,200,UTILITY,21551,14788,23,3358,1562,9,127,10,60,False,EUW1_7762319788,Master
4,18,Gragas,2,0,False,False,12940,0,3,179611,23138,1,11925,1701,19786,7084,0,100,TOP,197350,24839,257,5813,0,1,28,1,11,True,EUW1_7762293871,Master
10,18,Khazix,5,1,False,False,19795,0,15,1838,1394,205,197706,24885,17561,5875,0,100,JUNGLE,331986,30312,28,132441,4032,1,28,2,3,True,EUW1_7762293871,Master
