assists,champLevel,championName,deaths,detectorWardsPlaced,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,inhibitorsLost,kills,magicDamageDealt,magicDamageDealtToChampions,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,sightWardsBoughtInGame,teamId,teamPosition,totalDamageDealt,totalDamageDealtToChampions,totalMinionsKilled,trueDamageDealt,trueDamageDealtToChampions,turretsLost,visionScore,wardsKilled,wardsPlaced,win,match_id,tier
1,15,Yasuo,7,0,False,True,9869,3,5,12877,1080,8,118051,13484,16926,3366,0,100,TOP,131701,14611,206,772,46,11,17,0,8,False,EUW1_7761453813,Master
3,12,Chogath,12,0,False,True,7830,3,2,64207,4127,85,14523,1343,15213,578,0,100,JUNGLE,126294,6632,37,47563,1161,11,10,2,0,False,EUW1_7761453813,Master
1,13,DrMundo,7,0,False,True,9482,3,3,26295,10194,0,80989,6657,27414,3172,0,100,MIDDLE,109186,16894,178,1901,42,11,15,1,7,False,EUW1_7761453813,Master
3,14,Ezreal,8,0,False,True,11469,3,2,17835,5930,4,123224,13121,8821,3157,0,100,BOTTOM,145534,19052,227,4474,0,11,10,1,4,False,EUW1_7761453813,Master
6,11,Bard,8,2,False,True,7557,3,2,17867,7132,0,5095,2770,7980,588,0,100,UTILITY,24186,10823,24,1224,920,11,72,10,28,False,EUW1_7761453813,Master
6,16,Riven,6,0,False,True,11817,0,6,0,0,4,138917,21614,16614,6872,0,200,TOP,147821,23063,185,8903,1448,1,18,0,8,True,EUW1_7761453813,Master
8,16,Vi,2,4,False,True,13758,0,14,0,0,167,153320,26069,18639,1442,0,200,JUNGLE,256543,26633,16,103221,564,1,21,2,6,True,EUW1_7761453813,Master
4,17,Ahri,2,0,False,True,13125,0,12,126554,26580,8,13751,3229,12371,7037,0,200,MIDDLE,197614,36719,242,57308,6909,1,15,3,1,True,EUW1_7761453813,Master
7,16,Kennen,1,0,False,True,14452,0,9,175820,30951,0,18685,3116,9924,1107,0,200,BOTTOM,201927,34067,238,7421,0,1,12,2,4,True,EUW1_7761453813,Master
25,12,Rakan,3,6,False,True,9062,0,1,10259,5462,0,6632,3095,9993,3838,0,200,UTILITY,19998,8557,19,3105,0,1,96,8,33,True,EUW1_7761453813,Master
3,16,Ambessa,8,0,False,True,10494,2,2,716,716,0,137626,16195,20772,1114,0,100,TOP,139721,17220,236,1377,308,7,22,3,10,False,EUW1_7761417036,Master
4,15,LeeSin,7,0,False,True,12502,2,9,33194,2365,161,120290,14206,19154,744,0,100,JUNGLE,235215,17041,22,81730,469,7,16,2,6,False,EUW1_7761417036,Master
13,15,Galio,8,2,False,True,8946,2,1,100308,16140,1,5384,485,22496,657,0,100,MIDDLE,106187,17120,153,494,494,7,20,3,5,False,EUW1_7761417036,Master
6,16,Yunara,6,1,False,True,18305,2,8,77528,9775,2,152570,22317,18407,29,0,100,BOTTOM,242592,33640,293,12493,1547,7,24,6,8,False,EUW1_7761417036,Master
10,12,Zoe,6,9,False,True,8973,2,2,24537,12887,0,3174,1569,11537,3583,0,100,UTILITY,32682,17197,36,4970,2740,7,118,7,60,False,EUW1_7761417036,Master
5,20,Riven,1,0,False,True,16686,0,10,0,0,12,214025,27221,20597,6872,0,200,TOP,222360,29811,255,8334,2590,2,30,2,11,True,EUW1_7761417036,Master
13,16,XinZhao,4,5,False,True,12885,0,4,6835,686,192,155172,22093,27831,7084,0,200,JUNGLE,287633,24415,18,125626,1635,2,50,6,8,True,EUW1_7761417036,Master
5,17,Mel,6,0,False,True,16334,0,13,194838,24319,15,16147,4371,10045,3787,0,200,MIDDLE,214745,28788,268,3759,97,2,18,4,8,True,EUW1_7761417036,Master
6,16,Samira,7,0,False,True,14259,0,5,14279,1800,33,182709,17992,17315,5021,0,200,BOTTOM,205257,19957,208,8268,163,2,17,5,8,True,EUW1_7761417036,Master
23,14,Rell,4,9,False,True,10567,0,3,14073,8057,0,8460,3589,14357,641,0,200,UTILITY,26053,11905,23,3520,257,2,99,7,46,True,EUW1_7761417036,Master
1,14,Teemo,10,0,False,False,7549,1,2,56143,9236,0,20814,1998,15931,642,0,100,TOP,81001,11912,164,4043,677,9,21,3,7,False,EUW1_7761401017,Master
5,12,Nunu,4,0,False,False,7892,1,2,36336,5288,134,15139,587,16425,7050,0,100,JUNGLE,177592,6066,10,126116,190,9,11,2,0,False,EUW1_7761401017,Master
2,13,Hwei,6,2,False,False,7602,1,0,96585,13822,0,13783,357,12078,2076,0,100,MIDDLE,113182,14239,208,2813,58,9,11,1,8,False,EUW1_7761401017,Master
4,12,Draven,6,0,False,False,12025,1,7,0,0,0,116254,27361,13667,1636,0,100,BOTTOM,118551,27384,179,2296,23,9,6,4,2,False,EUW1_7761401017,Master
8,10,Alistar,3,7,False,False,6416,1,2,8404,5429,0,2943,647,12264,1590,0,100,UTILITY,15090,6076,23,3742,0,9,74,7,30,False,EUW1_7761401017,Master
2,16,Riven,2,0,False,False,11450,0,9,26,26,0,116216,16176,8514,6872,0,200,TOP,121533,17436,165,5290,1233,1,20,1,8,True,EUW1_7761401017,Master
10,16,Diana,0,2,False,False,12423,0,5,168555,14677,215,36093,1240,7022,4764,0,200,JUNGLE,294425,16464,15,89776,546,1,28,6,4,True,EUW1_7761401017,Master
6,16,Sivir,0,2,False,False,12937,0,9,0,0,0,148899,21935,4051,6590,0,200,MIDDLE,153013,22046,229,4114,110,1,20,6,9,True,EUW1_7761401017,Master
6,14,Ekko,3,0,False,False,11065,0,3,111749,11060,0,12489,2114,11572,3003,0,200,BOTTOM,126642,14002,183,2404,828,1,15,1,8,True,EUW1_7761401017,Master
